ANO;MES;MONTH_;QUINCENA;TRIMESTRE;MARCA;LINEA;FAMILIA;MODELO;SERVICIO;SEGMENTO;TAMANO;OBJETIVO;OBJECTIVE;TIPO;COMBUSTIBLE;STATUS;NACIONAL_IMPORT;DEPARTAMENTO;CANTIDAD
2011;1;FEBRUARY;Primera Quincena;1Q;RENAULT;STEPWAY;STEPWAY;2010;Particular;Automóvil;B;Medio;Medium;HATCHBACK;;CBU;NACIONAL;Bogota D.C.;1
2011;1;FEBRUARY;Primera Quincena;1Q;SEAT;LEON STYLANCE;;2009;Particular;INCONSISTENCIA;;;;;;CBU;NACIONAL;Bogota D.C.;1
2011;1;FEBRUARY;Primera Quincena;1Q;KIA;RIO;RIO;2010;Particular;Automóvil;B;Medio;Medium;HATCHBACK;;CBU;IMPORTADO;Valle del Cauca;1
2011;1;FEBRUARY;Primera Quincena;1Q;NISSAN;SENTRA B13;SENTRA B13;2010;Particular;Automóvil;B;Bajo;Low;SEDAN;;CBU;IMPORTADO;Tolima;1
2011;1;FEBRUARY;Primera Quincena;1Q;CHEVROLET;C 70;;1989;Particular;INCONSISTENCIA;;;;;;CBU;IMPORTADO;Bogota D.C.;1
2011;1;FEBRUARY;Primera Quincena;1Q;FORD;ECONOLINE;;2001;Oficial;INCONSISTENCIA;;;;;;CBU;IMPORTADO;Valle del Cauca;1
2011;1;FEBRUARY;Primera Quincena;1Q;CHEVROLET;SPARK;SPARK;2010;Público;Automóvil;A;Bajo;Low;SEDAN;;CBU;IMPORTADO;Antioquia;1
2011;1;MARCH;Primera Quincena;1Q;CHEVROLET;SPARK;SPARK;2010;Público;Automóvil;A;Bajo;Low;SEDAN;;CBU;IMPORTADO;Antioquia;1
2011;1;MARCH;Primera Quincena;1Q;RENAULT;CLIO EXPRESSION;CLIO;2010;Particular;Automóvil;A;Medio;Medium;HATCHBACK;;CBU;IMPORTADO;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;RENAULT;STEPWAY;STEPWAY;2010;Particular;Automóvil;B;Medio;Medium;HATCHBACK;;CBU;NACIONAL;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;FORD;EDGE;EDGE;2010;Particular;SUV;C;Medio;Medium;;;CBU;IMPORTADO;Valle del Cauca;1
2011;1;MARCH;Primera Quincena;1Q;MITSUBISHI;MONTERO HARDTOP;MONTERO;2010;Particular;SUV;C;Medio;Medium;;;CBU;NACIONAL;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;MERCEDES BENZ;ML-350;;2007;Particular;INCONSISTENCIA;;;;;;CBU;IMPORTADO;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;HYUNDAI;TUCSON GL;TUCSON;2010;Particular;SUV;B;Medio;Medium;;;CBU;NACIONAL;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;HYUNDAI;TUCSON GL;TUCSON;2010;Particular;SUV;B;Medio;Medium;;;CBU;IMPORTADO;Cundinamarca;1
2011;1;MARCH;Primera Quincena;1Q;HYUNDAI;TUCSON GL;TUCSON;2010;Particular;SUV;B;Medio;Medium;;;CBU;NACIONAL;Antioquia;1
